,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,MAE
123,300,20.0,5,4,sqrt,18552.400954062156
124,300,20.0,5,4,log2,22099.427293866862
125,300,20.0,5,4,,16844.03817475857
126,300,20.0,10,1,sqrt,17540.331210986024
127,300,20.0,10,1,log2,19863.70597405514
128,300,20.0,10,1,,16732.113197839593
129,300,20.0,10,2,sqrt,17813.137822330547
130,300,20.0,10,2,log2,20637.27612425116
131,300,20.0,10,2,,16770.635161520397
132,300,20.0,10,4,sqrt,18779.960672878075
133,300,20.0,10,4,log2,21864.746024170952
134,300,20.0,10,4,,16965.00628381756
135,300,,2,1,sqrt,16924.45802739726
136,300,,2,1,log2,18733.429488584476
137,300,,2,1,,16438.464748858445
138,300,,2,2,sqrt,17667.477351044545
139,300,,2,2,log2,20056.26134821041
140,300,,2,2,,16525.23875092462
141,300,,2,4,sqrt,18552.400954062156
142,300,,2,4,log2,22112.74992565194
143,300,,2,4,,16844.03817475857
144,300,,5,1,sqrt,17232.388758617508
145,300,,5,1,log2,19012.279805503324
146,300,,5,1,,16498.4602952609
147,300,,5,2,sqrt,17480.130479783722
148,300,,5,2,log2,20263.88089771118
149,300,,5,2,,16568.91520476031
150,300,,5,4,sqrt,18552.40095406216
151,300,,5,4,log2,22112.749925651944
152,300,,5,4,,16844.038174758574
153,300,,10,1,sqrt,17535.23856303568
154,300,,10,1,log2,19838.575984375944
155,300,,10,1,,16725.959188182012
156,300,,10,2,sqrt,17820.893783321848
157,300,,10,2,log2,20654.51480397298
158,300,,10,2,,16768.94531612036
159,300,,10,4,sqrt,18769.325277732212
160,300,,10,4,log2,21870.8590414859
161,300,,10,4,,16965.00628381756
162,500,10.0,2,1,sqrt,17851.160315253754
163,500,10.0,2,1,log2,20375.919246014615
164,500,10.0,2,1,,16713.986115203395
165,500,10.0,2,2,sqrt,17930.884738931018
166,500,10.0,2,2,log2,20970.82706837608
167,500,10.0,2,2,,16654.59536846543
168,500,10.0,2,4,sqrt,18766.071809517514
